Objects (100),Locations (100),Adjectives (100),Pick Verbs (4),Place Verbs (5)
cup,table,red,pick,put
bottle,drawer,blue,grab,place
box,shelf,green,take,lay
book,cabinet,yellow,lift,leave
toy,desk,purple,,set
mug,counter,black,,
bowl,basket,white,,
glass,fridge,brown,,
plate,floor,orange,,
phone,bed,pink,,
vase,nightstand,gray,,
lamp,closet,silver,,
wallet,bookshelf,gold,,
headphones,sofa,beige,,
charger,shoe rack,shiny,,
backpack,windowsill,dull,,
mirror,tv stand,matte,,
tablet,pantry,glossy,,
key,laundry basket,metallic,,
towel,microwave,wooden,,
clock,oven,plastic,,
pen,stove,ceramic,,
pencil,sink,glass,,
notebook,bathtub,soft,,
brush,toilet,hard,,
remote,mirror shelf,heavy,,
comb,coat rack,light,,
fork,bench,thick,,
spoon,ottoman,thin,,
knife,coffee table,long,,
scissors,side table,short,,
broom,hallway,tall,,
blanket,entrance,small,,
pillow,garage,big,,
frame,storage box,round,,
gamepad,toolbox,square,,
controller,safe,triangular,,
mouse,locker,flat,,
keyboard,bin,curved,,
monitor,corner,bent,,
marker,under the bed,dirty,,
ruler,under the table,clean,,
speaker,above the fridge,wet,,
magazine,beside the couch,dry,,
folder,next to the lamp,hot,,
stapler,on the radiator,cold,,
eraser,behind the curtain,warm,,
plant,window ledge,cool,,
can,bookshelf top,old,,
jar,fridge door,new,,
bottle opener,cushion,used,,
thermos,armrest,broken,,
coaster,drawer top,fixed,,
toothbrush,tv cabinet,empty,,
soap,laundry machine,full,,
tissue,dryer,open,,
bin,recycling bin,closed,,
glove,trash can,folded,,
hat,wardrobe,unfolded,,
cap,kitchen island,torn,,
shoe,bread box,intact,,
boot,cutlery drawer,sealed,,
sneaker,fruit bowl,loose,,
slipper,plant pot,tight,,
umbrella,garden box,stiff,,
belt,terrace table,flexible,,
tie,balcony shelf,smooth,,
jacket,radiator,rough,,
shirt,heater,fuzzy,,
sweater,wall hook,sharp,,
sock,coat shelf,blunt,,
ring,hanger,noisy,,
necklace,stand,silent,,
bracelet,magazine rack,bright,,
watch,wine rack,dark,,
helmet,medicine cabinet,glowing,,
ball,first aid box,flickering,,
bat,shaving kit,frozen,,
puzzle,makeup bag,melting,,
doll,toiletry shelf,sticky,,
lego,cupboard,slippery,,
card,mini fridge,fragile,,
envelope,file cabinet,durable,,
letter,desk drawer,smelly,,
paper,wall shelf,fragrant,,
document,rack,burnt,,
receipt,tool rack,soaked,,
coin,step stool,greasy,,
bill,window sill,powdery,,
bag,kitchen drawer,cracked,,
case,spice rack,wrinkled,,
container,snack shelf,bumpy,,
tool,pet bed,inflated,,
hammer,fish tank,deflated,,
drill,litter box,stained,,
cable,vacuum base,clear,,
charger,,opaque,,
,,translucent,,
